#obs_wl_air(nm)	intens
584.3781	7
585.310	2
585.42728	4
586.6598	2
587.0443	4
588.454	0.5
588.6088	3
590.8674	0.5
592.677	0.5
593.5792	2
593.6309	1
593.664	1
594.1825	4
595.0905	6
595.38303	5
596.2744	0.5
596.5031	3
597.3314	2
597.59622	5
597.7995	4
598.4454	3
598.5912	1
598.9339	8
599.146	0.5
600.3170	1
601.9493	4
602.72513	7
602.8220	1
604.4468	7
604.68977	10
604.90750	7
607.7431	6
608.3875	2
608.4507	2
610.19192	4
610.2765	1
610.35397	26
611.1742	2
611.49232	537
611.8724	4
612.00936	6
612.33609	20
612.4571	3
613.86551	28
614.2615	2
616.67835	4
616.76273	4
617.22775	407
617.4378	3
618.3024	2
618.71350	9
619.2301	2
620.11002	9
620.6463	1
620.8935	2
621.0420	1
623.2892	2
623.97120	8
624.31199	89
624.9975	1
627.7425	2
628.2823	1
629.450	0.5
629.5446	2
631.540	1
632.3735	3
632.44151	12
632.8474	1
633.2499	5
633.2832	1
633.3147	6
633.9897	3
634.82272	7
634.8601	2
635.7025	7
635.76776	8
636.5440	1
636.9128	2
637.5945	3
638.2696	3
638.30967	5
638.8341	5
639.1117	2
639.4729	7
639.66084	11
639.7184	2
639.92085	18
640.30123	11
640.8909	7
641.7417	1
641.83696	10
642.2894	7
642.4144	1
643.1556	6
643.3683	1
643.76013	11
644.18981	12
644.38591	12
645.6489	3
645.8403	2
646.8047	8
647.2428	6
647.5312	4
648.0085	2
648.30825	120
650.02151	5
650.13608	6
650.2157	3
650.6138	3
650.8174	6
650.9089	6
653.2927	2
653.80451	20
654.0409	2
654.7350	3
655.1498	3
655.7724	2
661.1196	2
661.4349	6
662.0965	8
663.82202	151
663.97403	93
664.36973	269
665.3583	1
666.63587	117
668.42924	204
669.571	0.5
669.6296	4
675.65522	32
679.9288	3
680.85312	15
681.8371	8
683.9584	4
684.6540	1
686.12689	112
686.35347	35
688.66118	26
690.0880	2
690.446	0.5
698.5708	1
699.0122	5
700.144	0.5
705.069	0.5
705.4993	3
707.7024	5
709.0560	1
710.1190	1
710.311	0.5
712.1737	6
718.2098	2
723.35341	23
724.945	0.5
728.0454	2
728.4232	7
729.815	0.5
734.80495	16
735.5180	2
735.8338	2
738.04229	44
741.9341	1
742.8574	2
744.0491	4
745.5996	2
750.5153	1
758.93152	72
761.803	1
765.4031	2
768.0948	2
768.149	1
768.3458	1
774.242	1
775.328	1
775.7003	1
779.5410	2
780.2252	1
784.6555	2
784.9409	9
789.467	0.5
790.4770	2
791.5813	1
794.351	0.5
799.290	1
801.75280	19
803.4625	1
803.6857	8
804.4308	2
811.065	1
815.0647	1
816.5405	3
818.2790	0
819.0258	1
821.7817	1
825.9521	2
829.6723	1
832.7907	2
833.8384	1
834.2630	1
834.5183	2
834.6420	1
